Lista tags in plc5
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----------------------------------------------------------------------------------
Nome tag                                                        |Descrizione
----------------------------------------------------------------+-----------------------------------------------------------------------------------
AQUABTAG_AN_H2OPressure_AnalogIN_MAX                            |H2O Pressure Parameter: AnalogIN MIN
AQUABTAG_AN_H2OPressure_AnalogIN_MIN                            |H2O Pressure Parameter: AnalogIN Max
AQUABTAG_AN_H2OPressure_OUT_MAX                                 |H2O Pressure Parameter: OUT Min [bar]
AQUABTAG_AN_H2OPressure_OUT_MIN                                 |H2O Pressure Parameter: OUT Max [bar]
AQUABTAG_AN_H2OFlow_AnalogIN_MAX                                |H2O Flow Parameter: AnalogIN MIN
AQUABTAG_AN_H2OFlow_AnalogIN_MIN                                |H2O Flow Parameter: AnalogIN Max
AQUABTAG_AN_H2OFlow_OUT_MAX                                     |H2O Flow Parameter: OUT Min [Kg/min]
AQUABTAG_AN_H2OFlow_OUT_MIN                                     |H2O Flow Parameter: OUT Max [Kg/min]
AQUABTAG_AN_H2OINSpeed_AnalogIN_MAX                             |H2O IN Speed Inverter Pump Parameter: AnalogIN_MIN
AQUABTAG_AN_H2OINSpeed_AnalogIN_MIN                             |H2O IN Speed Inverter Pump Parameter: AnalogIN_MAX
AQUABTAG_AN_H2OINSpeed_OUT_MAX                                  |H2O IN Speed Inverter Pump Parameter: OUT MIN [rpm]
AQUABTAG_AN_H2OINSpeed_OUT_MIN                                  |H2O IN Speed Inverter Pump Parameter: OUT MAX [rpm]
AQUABTAG_AN_H2OOUTSpeed_AnalogIN_MAX                            |H2O OUT Speed Inverter Pump Parameter: AnalogIN_MIN
AQUABTAG_AN_H2OOUTSpeed_AnalogIN_MIN                            |H2O OUT Speed Inverter Pump Parameter: AnalogIN_MAX
AQUABTAG_AN_H2OOUTSpeed_OUT_MAX                                 |H2O OUT Speed Inverter Pump Parameter: OUT MIN [rpm]
AQUABTAG_AN_H2OOUTSpeed_OUT_MIN                                 |H2O OUT Speed Inverter Pump Parameter: OUT MAX [rpm]
AQUABTAG_AN_BitSpeedPum_AnalogIN_MAX                            |Bitumen Inverter Speed Pump Parameter: AnalogIN_MIN
AQUABTAG_AN_BitSpeedPum_AnalogIN_MIN                            |Bitumen Inverter Speed Pump Parameter: AnalogIN_MAX
AQUABTAG_AN_BitSpeedPum_OUT_MAX                                 |Bitumen Inverter Speed Pump Parameter: OUT_MIN [rpm]
AQUABTAG_AN_BitSpeedPum_OUT_MIN                                 |Bitumen Inverter Speed Pump Parameter: OUT_MAX [rpm]
AQUABTAG_AN_BitTemp_AnalogIN_MAX                                |Bitumen Temperature Parameter: AnalogIN MIN
AQUABTAG_AN_BitTemp_AnalogIN_MIN                                |Bitumen Temperature Parameter: AnalogIN MAX
AQUABTAG_AN_BitTemp_OUT_MAX                                     |Bitumen Temperature Parameter: OUT MIN [C°]
AQUABTAG_AN_BitTemp_OUT_MIN                                     |Bitumen Temperature Parameter: OUT MAX [C°]
AQUABTAG_AN_BitMassFlow_AnalogIN_MAX                            |Bitumen Massic Flow Parameter: AnalogIN Min
AQUABTAG_AN_BitMassFlow_AnalogIN_MIN                            |Bitumen Massic Flow Parameter: AnalogIN Max
AQUABTAG_AN_BitMassFlow_OUT_MAX                                 |Bitumen Massic Flow Parameter: OUT Min [Kg/sec]
AQUABTAG_AN_BitMassFlow_OUT_MIN                                 |Bitumen Massic Flow Parameter: OUT Max [Kg/sec]
AQUABTAG_AN_BitWeight_AnalogIN_MAX                              |Bitumen Weight Parameter: AnalogIN_MIN
AQUABTAG_AN_BitWeight_AnalogIN_MIN                              |Bitumen Weight Parameter: AnalogIN_MAX
AQUABTAG_AN_BitWeight_OUT_MAX                                   |Bitumen Weight Parameter: OUT_MIN [Kg]
AQUABTAG_AN_BitWeight_OUT_MIN                                   |Bitumen Weight Parameter: OUT_MAX [Kg]
AQUABTAG_AN_BitTare_AnalogIN_MAX                                |Bitumen Tare Parameter: AnalogIN_MIN
AQUABTAG_AN_BitTare_AnalogIN_MIN                                |Bitumen Tare Parameter: AnalogIN_MAX
AQUABTAG_AN_BitTare_OUT_MAX                                     |Bitumen Tare Parameter: OUT_MIN [Kg]
AQUABTAG_AN_BitTare_OUT_MIN                                     |Bitumen Tare Parameter: OUT_MAX [Kg]
AQUABTAG_AN_H2OFlowTransientCompens                             |Compensation value for the transient of the H2O flow meter [kg]
AQUABTAG_MAX_H2OValvDelayOnCloseBi                              |H2O Valve Delay on Open From Spraying Bitumen Parameter [sec]
AQUABTAG_MAX_H2OValvDelayOnOpenBi                               |H2O Valve Delay on Close From Spraying Bitumen Parameter [sec]
AQUABTAG_MAX_AlarmHighPressureH2O                               |H20 Alarm Limit for High Pressure [bar]
AQUABTAG_MAX_DelayAlarHighPressureH2                            |H20 Delay Alarm Limit for High Pressure [sec]
AQUABTAG_MAX_PercentualCloseH20                                 |H20 Percentage of Bitumen to close H20 [%] (=0 disabled)
AQUABTAG_MAX_MinH2OFlowAlarmDela                                |Delay check for minimum H2O flow alarm [sec]
AQUABTAG_MAX_MinH2OFlow                                         |Check for minimum H2O flow alarm [Kg/min]
AQUABTAG_MAX_BitFlowOnH2OCloseDelay                             |Bitumen flow value during the delay of the H2O valve close
